X: -99.000000, Y: -68.000000, Z: -87.000000, Data: 3.491250
X: -99.000000, Y: -68.000000, Z: -86.000000, Data: 3.380000
X: -99.000000, Y: -68.000000, Z: -85.000000, Data: 3.030000
X: -99.000000, Y: -68.000000, Z: -84.000000, Data: 2.865000
X: -99.000000, Y: -68.000000, Z: -83.000000, Data: 3.446250
X: -99.000000, Y: -68.000000, Z: -82.000000, Data: 3.631250
X: -99.000000, Y: -68.000000, Z: -81.000000, Data: 2.783750
X: -99.000000, Y: -68.000000, Z: -80.000000, Data: 2.235000
X: -99.000000, Y: -68.000000, Z: -79.000000, Data: 2.402500
X: -99.000000, Y: -68.000000, Z: -78.000000, Data: 2.922500
X: -99.000000, Y: -68.000000, Z: -77.000000, Data: 2.877500
X: -99.000000, Y: -68.000000, Z: -76.000000, Data: 2.040000
X: -99.000000, Y: -68.000000, Z: -75.000000, Data: 1.492500
X: -99.000000, Y: -68.000000, Z: -74.000000, Data: 1.178750
X: -99.000000, Y: -68.000000, Z: -73.000000, Data: 1.062500
X: -99.000000, Y: -68.000000, Z: -72.000000, Data: 1.020000
X: -99.000000, Y: -68.000000, Z: -71.000000, Data: 0.940000
X: -99.000000, Y: -68.000000, Z: -70.000000, Data: 0.748750
X: -99.000000, Y: -68.000000, Z: -69.000000, Data: 0.587500
X: -99.000000, Y: -68.000000, Z: -68.000000, Data: 0.528750
X: -99.000000, Y: -68.000000, Z: -67.000000, Data: 0.535000
X: -99.000000, Y: -68.000000, Z: -66.000000, Data: 0.522500
X: -99.000000, Y: -68.000000, Z: -65.000000, Data: 0.560000
X: -99.000000, Y: -68.000000, Z: -64.000000, Data: 0.522500
X: -99.000000, Y: -68.000000, Z: -63.000000, Data: 0.595000
X: -99.000000, Y: -68.000000, Z: -62.000000, Data: 0.701250
X: -99.000000, Y: -68.000000, Z: -61.000000, Data: 0.882500
X: -99.000000, Y: -68.000000, Z: -60.000000, Data: 1.272500
X: -99.000000, Y: -68.000000, Z: -59.000000, Data: 2.136250
X: -99.000000, Y: -68.000000, Z: -58.000000, Data: 3.422500
X: -99.000000, Y: -68.000000, Z: -57.000000, Data: 4.468750
X: -99.000000, Y: -69.000000, Z: -57.000000, Data: 4.357500
X: -99.000000, Y: -69.000000, Z: -58.000000, Data: 3.487500
X: -99.000000, Y: -69.000000, Z: -59.000000, Data: 2.210000
X: -99.000000, Y: -69.000000, Z: -60.000000, Data: 1.316250
X: -99.000000, Y: -69.000000, Z: -61.000000, Data: 0.866250
X: -99.000000, Y: -69.000000, Z: -62.000000, Data: 0.677500
X: -99.000000, Y: -69.000000, Z: -63.000000, Data: 0.563750
X: -99.000000, Y: -69.000000, Z: -64.000000, Data: 0.440000
X: -99.000000, Y: -69.000000, Z: -65.000000, Data: 0.511250
X: -99.000000, Y: -69.000000, Z: -66.000000, Data: 0.525000
X: -99.000000, Y: -69.000000, Z: -67.000000, Data: 0.498750
X: -99.000000, Y: -69.000000, Z: -68.000000, Data: 0.497500
X: -99.000000, Y: -69.000000, Z: -69.000000, Data: 0.566250
X: -99.000000, Y: -69.000000, Z: -70.000000, Data: 0.737500
X: -99.000000, Y: -69.000000, Z: -71.000000, Data: 0.938750
X: -99.000000, Y: -69.000000, Z: -72.000000, Data: 1.042500
X: -99.000000, Y: -69.000000, Z: -73.000000, Data: 1.118750
X: -99.000000, Y: -69.000000, Z: -74.000000, Data: 1.195000
X: -99.000000, Y: -69.000000, Z: -75.000000, Data: 1.376250
X: -99.000000, Y: -69.000000, Z: -76.000000, Data: 1.511250
X: -99.000000, Y: -69.000000, Z: -77.000000, Data: 2.108750
X: -99.000000, Y: -69.000000, Z: -78.000000, Data: 2.760000
X: -99.000000, Y: -69.000000, Z: -79.000000, Data: 2.628750
X: -99.000000, Y: -69.000000, Z: -80.000000, Data: 2.332500
X: -99.000000, Y: -69.000000, Z: -81.000000, Data: 2.505000
X: -99.000000, Y: -69.000000, Z: -82.000000, Data: 3.296250
X: -99.000000, Y: -69.000000, Z: -83.000000, Data: 3.675000
X: -99.000000, Y: -69.000000, Z: -84.000000, Data: 3.012500
X: -99.000000, Y: -69.000000, Z: -85.000000, Data: 2.958750
X: -99.000000, Y: -69.000000, Z: -86.000000, Data: 3.272500
X: -99.000000, Y: -69.000000, Z: -87.000000, Data: 3.400000
X: -99.000000, Y: -70.000000, Z: -87.000000, Data: 3.333750
X: -99.000000, Y: -70.000000, Z: -86.000000, Data: 3.367500
X: -99.000000, Y: -70.000000, Z: -85.000000, Data: 3.057500
X: -99.000000, Y: -70.000000, Z: -84.000000, Data: 3.001250
X: -99.000000, Y: -70.000000, Z: -83.000000, Data: 3.531250
X: -99.000000, Y: -70.000000, Z: -82.000000, Data: 3.420000
